id,employee_id,client_id,date,region,sale
1,4,45,1/4/2024,North,491.35
2,34,42,1/4/2024,South,190.39
3,10,73,1/4/2024,North,286.9
4,4,24,1/4/2024,North,193.21
5,41,11,1/4/2024,North,250.97
6,23,51,1/4/2024,South,126.19
7,20,20,1/4/2024,East,382.99
8,1,35,1/4/2024,North,234.89
9,24,78,1/4/2024,West,491.59
10,23,23,1/4/2024,West,96.13
11,32,34,1/4/2024,South,110.34
12,37,66,1/4/2024,West,199.05
13,24,35,1/4/2024,East,440.3
14,32,9,1/4/2024,South,89.37
15,18,27,2/4/2024,East,326.73
16,28,92,2/4/2024,West,442.6
17,3,45,2/4/2024,West,394.7
18,16,75,2/4/2024,West,95.22
19,19,43,2/4/2024,North,367.66
20,41,28,2/4/2024,North,124.16
21,12,40,2/4/2024,North,279.27
22,11,50,2/4/2024,North,110.67
23,21,94,2/4/2024,South,134.03
24,36,3,2/4/2024,East,326.08
25,11,19,2/4/2024,South,258.14
26,17,36,2/4/2024,East,180.24
27,49,36,2/4/2024,East,324.06
28,50,94,2/4/2024,West,229.97
29,50,37,2/4/2024,South,448.18
30,21,50,2/4/2024,West,204.67
31,32,92,2/4/2024,East,207.68
32,29,88,2/4/2024,South,121.78
33,28,5,2/4/2024,East,426.27
34,42,66,2/4/2024,South,297.33
35,15,56,2/4/2024,South,280.34
36,2,69,3/4/2024,South,81.1
37,38,36,3/4/2024,East,264.2
38,17,87,3/4/2024,East,183.55
39,21,15,3/4/2024,West,72.89
40,31,75,3/4/2024,East,474.33
41,46,65,3/4/2024,West,83.74
42,35,68,3/4/2024,South,155.12
43,25,23,3/4/2024,West,184.95
44,36,37,3/4/2024,West,230.66
45,25,30,3/4/2024,South,113.55
46,24,18,3/4/2024,North,349.64
47,26,66,3/4/2024,South,50.03
48,20,10,3/4/2024,North,264.23
49,37,25,3/4/2024,West,450.21
50,26,56,3/4/2024,West,128.51
51,39,10,3/4/2024,North,246.14
52,25,53,3/4/2024,South,400.85
53,35,65,3/4/2024,North,299.39
54,21,36,3/4/2024,East,467.85
55,21,44,3/4/2024,North,129.76
56,46,11,3/4/2024,North,363.04
57,15,63,3/4/2024,East,72.99
58,28,1,3/4/2024,East,77.47
59,36,33,3/4/2024,South,339.53
60,23,24,3/4/2024,West,298.43
61,32,73,3/4/2024,South,459.84
62,18,60,3/4/2024,South,204.68
63,48,63,3/4/2024,North,216.78
64,25,61,3/4/2024,West,341.7
65,48,36,3/4/2024,East,149.1
66,28,67,4/4/2024,South,238.72
67,9,51,4/4/2024,West,417.84
68,38,37,4/4/2024,South,364.55
69,25,77,4/4/2024,South,300.67
70,50,11,4/4/2024,West,295.01
71,18,2,4/4/2024,East,34.96
72,31,72,4/4/2024,West,129.47
73,13,57,4/4/2024,North,493.16
74,7,31,4/4/2024,East,30.47
75,40,60,4/4/2024,North,215.97
76,17,38,4/4/2024,East,247.32
77,2,61,4/4/2024,West,419.11
78,6,60,4/4/2024,North,271.56
79,36,2,4/4/2024,East,407.2
80,6,90,4/4/2024,North,20.87
81,17,92,4/4/2024,East,117.73
82,15,45,4/4/2024,South,410
83,15,15,4/4/2024,West,448.25
84,15,43,5/4/2024,West,147.84
85,9,27,5/4/2024,South,18.27
86,27,54,5/4/2024,North,352.13
87,36,75,5/4/2024,North,266.58
88,20,6,5/4/2024,North,243.24
89,45,63,5/4/2024,North,236.56
90,23,13,5/4/2024,West,210.36
91,2,29,5/4/2024,West,355.12
92,25,79,5/4/2024,West,389.91
93,13,94,5/4/2024,West,108.79
94,42,53,5/4/2024,North,391.37
95,40,93,5/4/2024,West,431.24
96,44,70,5/4/2024,South,336.44
97,30,3,5/4/2024,North,126.15
98,26,21,5/4/2024,East,446.78
99,32,34,5/4/2024,East,173.87
100,37,95,5/4/2024,North,424.23
101,47,23,5/4/2024,South,166.06
102,24,43,5/4/2024,East,35.54
103,30,28,5/4/2024,West,183.57
104,34,63,5/4/2024,South,54.01
105,2,56,5/4/2024,East,293.27
106,22,58,5/4/2024,East,152.34
107,37,82,5/4/2024,East,453.87
108,10,69,5/4/2024,South,470.3
109,2,21,5/4/2024,East,286.64
110,26,2,5/4/2024,West,356.65
111,49,9,5/4/2024,West,112.14
112,19,28,5/4/2024,North,85.52
113,3,55,5/4/2024,South,468.88
114,3,12,5/4/2024,East,190.29
115,41,28,5/4/2024,East,408.84
116,23,86,5/4/2024,East,142.74
117,46,22,5/4/2024,East,223.24
118,43,94,5/4/2024,North,325.61
119,2,52,5/4/2024,West,208.93
120,50,39,5/4/2024,East,368.43
121,42,77,6/4/2024,East,495.93
122,7,18,6/4/2024,East,49.63
123,14,35,6/4/2024,South,467.66
124,43,53,6/4/2024,East,199.4
125,39,51,6/4/2024,East,479.97
126,5,70,6/4/2024,North,145.83
127,43,83,6/4/2024,North,308.28
128,12,5,6/4/2024,North,187.1
129,50,25,6/4/2024,South,462.53
130,39,34,6/4/2024,East,172.34
131,18,77,6/4/2024,North,433.13
132,17,41,6/4/2024,East,304.8
133,24,22,6/4/2024,West,298.1
134,43,38,6/4/2024,South,413.76
135,20,22,6/4/2024,West,199.21
136,31,44,6/4/2024,North,276.33
137,38,71,6/4/2024,North,294.02
138,11,38,6/4/2024,North,219.86
139,26,87,6/4/2024,East,368.34
140,28,66,6/4/2024,South,394.44
141,16,50,6/4/2024,South,154.09
142,38,60,6/4/2024,South,290.9
143,43,55,6/4/2024,North,116.35
144,13,27,6/4/2024,West,327.97
145,6,42,6/4/2024,North,45.49
146,33,49,6/4/2024,North,398.28
147,27,46,7/4/2024,East,26.96
148,37,39,7/4/2024,South,21.37
149,20,92,7/4/2024,East,161.15
150,41,65,7/4/2024,West,331.78
151,14,20,7/4/2024,West,404.3
152,16,72,7/4/2024,West,471.19
153,39,46,7/4/2024,South,165.14
154,38,84,7/4/2024,South,212.68
155,11,45,7/4/2024,South,29.17
156,29,95,7/4/2024,East,325.7
157,43,17,7/4/2024,East,34.03
158,28,23,7/4/2024,West,398.34
159,36,30,7/4/2024,South,102.66
160,1,20,7/4/2024,South,123.73
161,22,36,7/4/2024,South,489.04
162,5,37,7/4/2024,West,263.24
163,33,12,7/4/2024,North,132.49
164,46,49,7/4/2024,East,51.32
165,32,44,7/4/2024,West,370.44
166,22,53,7/4/2024,East,270.36
167,25,16,7/4/2024,West,88.37
168,27,57,7/4/2024,West,315.83
169,35,54,7/4/2024,East,181.77
170,10,71,7/4/2024,North,497.56
171,4,77,7/4/2024,South,200.2
172,23,83,7/4/2024,South,86.57
173,14,93,7/4/2024,South,85.54
174,9,29,7/4/2024,North,247.26
175,6,34,7/4/2024,South,243.82
176,21,23,7/4/2024,East,434.16
177,15,68,7/4/2024,North,340.55
178,32,73,7/4/2024,East,38.6
179,25,30,7/4/2024,West,235.77
180,21,85,7/4/2024,East,78.11
181,6,74,7/4/2024,West,74.19
182,10,71,7/4/2024,East,26.9
183,14,58,7/4/2024,East,196.17
184,37,59,7/4/2024,West,427.37
185,49,16,7/4/2024,South,182.11
186,33,6,7/4/2024,North,330.97
187,34,79,7/4/2024,West,184.77
188,2,39,7/4/2024,East,142.78
189,28,35,7/4/2024,North,87.25
190,1,62,7/4/2024,East,31.83
191,25,67,8/4/2024,North,456.57
192,42,47,8/4/2024,West,354.75
193,35,20,8/4/2024,North,314.08
194,43,72,8/4/2024,South,46.74
195,1,35,8/4/2024,East,258.88
196,49,95,8/4/2024,East,41.63
197,40,14,8/4/2024,South,350.58
198,49,45,8/4/2024,South,34.52
199,43,95,8/4/2024,North,265.49
200,47,86,8/4/2024,West,485.41
201,26,37,8/4/2024,North,69.24
202,21,73,8/4/2024,North,183.69
203,41,2,8/4/2024,East,49.34
204,45,88,8/4/2024,East,23.92
205,27,38,8/4/2024,South,330.16
206,28,31,8/4/2024,South,229.97
207,17,90,8/4/2024,West,256.95
208,10,58,8/4/2024,North,234.58
209,39,68,8/4/2024,East,462.11
210,20,9,8/4/2024,East,436.01
211,16,42,8/4/2024,North,135.44
212,26,64,8/4/2024,West,113.35
213,8,17,8/4/2024,West,289.87
214,9,19,8/4/2024,North,80.39
215,14,27,8/4/2024,East,353.92
216,33,36,8/4/2024,South,90.49
217,46,86,8/4/2024,North,225.54
218,31,60,8/4/2024,West,351.43
219,9,27,9/4/2024,North,14.56
220,5,60,9/4/2024,West,81.21
221,47,62,9/4/2024,East,463.39
222,40,92,9/4/2024,East,126.24
223,23,27,9/4/2024,West,23.6
224,30,70,9/4/2024,East,406.35
225,34,41,9/4/2024,North,404.58
226,22,89,9/4/2024,North,107.94
227,41,85,9/4/2024,East,493.21
228,20,44,9/4/2024,West,315.74
229,36,43,9/4/2024,West,86.76
230,37,60,9/4/2024,West,84.26
231,15,51,9/4/2024,East,155.85
232,46,49,9/4/2024,East,256.82
233,45,75,9/4/2024,North,84.34
234,17,59,9/4/2024,West,183.7
235,5,83,9/4/2024,East,452.57
236,49,56,9/4/2024,South,427.5
237,29,38,9/4/2024,North,430.09
238,13,37,9/4/2024,North,389.01
239,33,85,9/4/2024,West,418.46
240,44,82,9/4/2024,West,19.71
241,31,34,9/4/2024,East,171.18
242,14,66,9/4/2024,East,166.77
243,40,92,9/4/2024,North,11.08
244,50,27,9/4/2024,East,244.87
245,47,29,9/4/2024,South,317.92
246,32,88,9/4/2024,East,44.26
247,38,88,9/4/2024,South,202.7
248,34,15,9/4/2024,East,100.16
249,47,62,9/4/2024,North,272.82
250,42,43,9/4/2024,North,374.9
251,33,71,9/4/2024,North,51.55
252,19,93,9/4/2024,North,482.56
253,41,6,9/4/2024,East,64.68
254,43,48,9/4/2024,North,358.92
255,34,47,9/4/2024,South,451.58
256,34,27,9/4/2024,South,433.88
257,4,5,9/4/2024,West,195.86
258,12,31,9/4/2024,West,154.14
259,1,64,9/4/2024,West,273.25
260,24,17,9/4/2024,West,411.31
261,17,82,9/4/2024,West,365.88
262,32,26,9/4/2024,South,85.92
263,4,88,9/4/2024,East,235.44
264,17,73,9/4/2024,East,48.09
265,11,93,10/4/2024,South,441.15
266,2,35,10/4/2024,South,480.65
267,2,94,10/4/2024,North,484.56
268,3,48,10/4/2024,North,118.54
269,20,76,10/4/2024,South,267.34
270,19,41,10/4/2024,North,374.49
271,16,17,10/4/2024,South,98.28
272,35,39,10/4/2024,East,373.42
273,25,54,10/4/2024,East,437.62
274,39,63,10/4/2024,West,277.1
275,34,85,10/4/2024,West,431.63
276,42,43,10/4/2024,West,248.26
277,40,35,10/4/2024,East,398.13
278,9,53,10/4/2024,North,147.49
279,50,71,10/4/2024,East,160.34
280,35,70,10/4/2024,South,245.44
281,42,70,10/4/2024,East,181.93
282,13,25,10/4/2024,North,475.46
283,3,59,10/4/2024,West,393.56
284,15,17,10/4/2024,South,443.8
285,17,50,10/4/2024,East,387.66
286,48,80,10/4/2024,North,300.09
287,40,45,10/4/2024,East,78.5
288,3,78,10/4/2024,South,58.31
289,49,72,10/4/2024,East,126.56
290,43,17,10/4/2024,West,327.32
291,35,75,10/4/2024,South,335.57
292,8,3,10/4/2024,South,180.96
293,15,62,10/4/2024,West,42.4
294,28,39,10/4/2024,South,292.5
295,33,7,10/4/2024,East,143.93
296,47,10,10/4/2024,West,79.95
297,11,23,10/4/2024,North,47.8
298,16,86,10/4/2024,North,467.54
299,5,59,10/4/2024,West,302.75
300,46,19,10/4/2024,South,272.88
301,10,95,10/4/2024,South,143.7
302,47,57,10/4/2024,North,131.08
303,22,63,10/4/2024,East,303.46
304,6,48,10/4/2024,North,41.33
305,20,64,10/4/2024,South,82.11
306,33,85,10/4/2024,North,200.57
307,7,43,10/4/2024,North,356.76
308,10,95,10/4/2024,North,374.31
309,33,3,10/4/2024,West,110.33
310,20,38,10/4/2024,North,141.49
311,39,90,10/4/2024,East,335.29
312,4,43,10/4/2024,West,273.29
313,35,23,10/4/2024,North,260.37
314,33,56,10/4/2024,East,54.92
315,2,15,10/4/2024,South,288.11
316,15,25,10/4/2024,North,105.74
317,31,28,10/4/2024,East,192.12
318,44,63,10/4/2024,South,235.22
319,27,36,10/4/2024,South,391.46
320,23,36,10/4/2024,North,176.56
321,31,33,10/4/2024,West,245.58